order,age,method
Falconiformes,25.0966,MD-CAT+CASTLES-Pro
Musophagiformes,25.1648,MD-CAT+CASTLES-Pro
Otidiformes,16.5952,MD-CAT+CASTLES-Pro
Pterocliformes,15.2518,MD-CAT+CASTLES-Pro
Apterygiformes,1.5398,MD-CAT+CASTLES-Pro
Bucerotiformes,62,MD-CAT+CASTLES-Pro
Strigiformes,35.5741,MD-CAT+CASTLES-Pro
Columbiformes,22.5537,MD-CAT+CASTLES-Pro
Psittaciformes,27.6027,MD-CAT+CASTLES-Pro
Anseriformes,52.6001,MD-CAT+CASTLES-Pro
Cuculiformes,53.0865,MD-CAT+CASTLES-Pro
Gruiformes,60.76,MD-CAT+CASTLES-Pro
Procellariiformes,38.5,MD-CAT+CASTLES-Pro
Accipitriformes,61.3752,MD-CAT+CASTLES-Pro
Coraciiformes,60.1775,MD-CAT+CASTLES-Pro
Piciformes,65.9212,MD-CAT+CASTLES-Pro
Tinamiformes,25.5684,MD-CAT+CASTLES-Pro
Galliformes,65.2477,MD-CAT+CASTLES-Pro
Strisores,66.067,MD-CAT+CASTLES-Pro
Pelecaniformes,65.0677,MD-CAT+CASTLES-Pro
Charadriiformes,60.0255,MD-CAT+CASTLES-Pro
Passeriformes,38.152,MD-CAT+CASTLES-Pro
Falconiformes,20.4895,MD-CAT+ConBL
Musophagiformes,53.0498,MD-CAT+ConBL
Otidiformes,18.4715,MD-CAT+ConBL
Pterocliformes,16.5235,MD-CAT+ConBL
Apterygiformes,2.4263,MD-CAT+ConBL
Bucerotiformes,62,MD-CAT+ConBL
Strigiformes,52.1184,MD-CAT+ConBL
Columbiformes,24.1136,MD-CAT+ConBL
Psittaciformes,30.5232,MD-CAT+ConBL
Anseriformes,50.9899,MD-CAT+ConBL
Cuculiformes,50.6606,MD-CAT+ConBL
Gruiformes,60.76,MD-CAT+ConBL
Procellariiformes,38.5,MD-CAT+ConBL
Accipitriformes,64.9317,MD-CAT+ConBL
Coraciiformes,60.2352,MD-CAT+ConBL
Piciformes,66.336,MD-CAT+ConBL
Tinamiformes,25.831,MD-CAT+ConBL
Galliformes,57.6283,MD-CAT+ConBL
Strisores,65.5656,MD-CAT+ConBL
Pelecaniformes,65.7816,MD-CAT+ConBL
Charadriiformes,57.9222,MD-CAT+ConBL
Passeriformes,38.4985,MD-CAT+ConBL
Falconiformes,31.9725,MCMCtree
Musophagiformes,25.3536,MCMCtree
Otidiformes,15.8221,MCMCtree
Pterocliformes,15.8105,MCMCtree
Apterygiformes,4.16329,MCMCtree
Bucerotiformes,55.3353,MCMCtree
Strigiformes,55.6206,MCMCtree
Columbiformes,23.7243,MCMCtree
Psittaciformes,35.2522,MCMCtree
Anseriformes,49.2894,MCMCtree
Cuculiformes,48.2722,MCMCtree
Gruiformes,56.6579,MCMCtree
Procellariiformes,54.4852,MCMCtree
Accipitriformes,62.1768,MCMCtree
Coraciiformes,56.1968,MCMCtree
Piciformes,55.637,MCMCtree
Tinamiformes,47.848,MCMCtree
Galliformes,66.7052,MCMCtree
Strisores,62.2505,MCMCtree
Pelecaniformes,60.6993,MCMCtree
Charadriiformes,55.1164,MCMCtree
Passeriformes,50.7065,MCMCtree
Falconiformes,22.9496,TreePL+CASTLES-Pro
Musophagiformes,26.1779,TreePL+CASTLES-Pro
Otidiformes,15.2773,TreePL+CASTLES-Pro
Pterocliformes,16.7414,TreePL+CASTLES-Pro
Apterygiformes,2.32044,TreePL+CASTLES-Pro
Bucerotiformes,62,TreePL+CASTLES-Pro
Strigiformes,49.8351,TreePL+CASTLES-Pro
Columbiformes,23.8452,TreePL+CASTLES-Pro
Psittaciformes,31.4131,TreePL+CASTLES-Pro
Anseriformes,58.7287,TreePL+CASTLES-Pro
Cuculiformes,44.1161,TreePL+CASTLES-Pro
Gruiformes,60.76,TreePL+CASTLES-Pro
Procellariiformes,38.5,TreePL+CASTLES-Pro
Accipitriformes,61.6768,TreePL+CASTLES-Pro
Coraciiformes,60.791,TreePL+CASTLES-Pro
Piciformes,62.5208,TreePL+CASTLES-Pro
Tinamiformes,28.2434,TreePL+CASTLES-Pro
Galliformes,57.9667,TreePL+CASTLES-Pro
Strisores,65.6386,TreePL+CASTLES-Pro
Pelecaniformes,60.2175,TreePL+CASTLES-Pro
Charadriiformes,52.4421,TreePL+CASTLES-Pro
Passeriformes,38.8058,TreePL+CASTLES-Pro
Falconiformes,31.5711,TreePL+ConBL
Musophagiformes,26.916,TreePL+ConBL
Otidiformes,16.0143,TreePL+ConBL
Pterocliformes,16.8111,TreePL+ConBL
Apterygiformes,3.61003,TreePL+ConBL
Bucerotiformes,62,TreePL+ConBL
Strigiformes,50.8032,TreePL+ConBL
Columbiformes,23.4903,TreePL+ConBL
Psittaciformes,31.5972,TreePL+ConBL
Anseriformes,56.7968,TreePL+ConBL
Cuculiformes,44.9672,TreePL+ConBL
Gruiformes,60.76,TreePL+ConBL
Procellariiformes,38.5,TreePL+ConBL
Accipitriformes,61.9913,TreePL+ConBL
Coraciiformes,60.978,TreePL+ConBL
Piciformes,63.4146,TreePL+ConBL
Tinamiformes,28.9491,TreePL+ConBL
Galliformes,58.5609,TreePL+ConBL
Strisores,64.8791,TreePL+ConBL
Pelecaniformes,59.6074,TreePL+ConBL
Charadriiformes,55.2248,TreePL+ConBL
Passeriformes,39.1322,TreePL+ConBL
Falconiformes,19.0974,wLogDate+CASTLES-Pro
Musophagiformes,23.1748,wLogDate+CASTLES-Pro
Otidiformes,13.6768,wLogDate+CASTLES-Pro
Pterocliformes,14.4205,wLogDate+CASTLES-Pro
Apterygiformes,1.50116,wLogDate+CASTLES-Pro
Bucerotiformes,62,wLogDate+CASTLES-Pro
Strigiformes,53.1862,wLogDate+CASTLES-Pro
Columbiformes,20.8114,wLogDate+CASTLES-Pro
Psittaciformes,30.3923,wLogDate+CASTLES-Pro
Anseriformes,61.7628,wLogDate+CASTLES-Pro
Cuculiformes,41.9366,wLogDate+CASTLES-Pro
Gruiformes,60.76,wLogDate+CASTLES-Pro
Procellariiformes,38.5,wLogDate+CASTLES-Pro
Accipitriformes,63.7843,wLogDate+CASTLES-Pro
Coraciiformes,60.9487,wLogDate+CASTLES-Pro
Piciformes,60.0419,wLogDate+CASTLES-Pro
Tinamiformes,30.4486,wLogDate+CASTLES-Pro
Galliformes,56.4981,wLogDate+CASTLES-Pro
Strisores,66.9834,wLogDate+CASTLES-Pro
Pelecaniformes,60.5518,wLogDate+CASTLES-Pro
Charadriiformes,46.8368,wLogDate+CASTLES-Pro
Passeriformes,37.951,wLogDate+CASTLES-Pro
Falconiformes,29.7841,wLogDate+ConBL
Musophagiformes,23.7086,wLogDate+ConBL
Otidiformes,14.0674,wLogDate+ConBL
Pterocliformes,14.5306,wLogDate+ConBL
Apterygiformes,2.45855,wLogDate+ConBL
Bucerotiformes,62,wLogDate+ConBL
Strigiformes,55.119,wLogDate+ConBL
Columbiformes,20.9565,wLogDate+ConBL
Psittaciformes,30.346,wLogDate+ConBL
Anseriformes,60.1188,wLogDate+ConBL
Cuculiformes,42.8476,wLogDate+ConBL
Gruiformes,60.76,wLogDate+ConBL
Procellariiformes,38.5,wLogDate+ConBL
Accipitriformes,64.7446,wLogDate+ConBL
Coraciiformes,61.1756,wLogDate+ConBL
Piciformes,61.1379,wLogDate+ConBL
Tinamiformes,30.6004,wLogDate+ConBL
Galliformes,57.3885,wLogDate+ConBL
Strisores,66.1868,wLogDate+ConBL
Pelecaniformes,59.7099,wLogDate+ConBL
Charadriiformes,49.8982,wLogDate+ConBL
Passeriformes,38.3315,wLogDate+ConBL