,Condition,genes,Method,replicate,time_s,mem_gb
0,50,1000,TreePL+CASTLES-Pro,1,1.4,0.132532
1,50,1000,TreePL+CASTLES-Pro,2,1.0899999999999999,0.132336
2,50,1000,TreePL+CASTLES-Pro,3,1.29,0.132348
3,50,1000,TreePL+CASTLES-Pro,4,1.2000000000000002,0.132392
4,50,1000,TreePL+CASTLES-Pro,5,1.12,0.132412
5,50,1000,TreePL+CASTLES-Pro,6,1.19,0.132344
6,50,1000,TreePL+CASTLES-Pro,7,1.07,0.13236
7,50,1000,TreePL+CASTLES-Pro,8,1.2999999999999998,0.132344
8,50,1000,TreePL+CASTLES-Pro,9,1.17,0.132388
9,50,1000,TreePL+CASTLES-Pro,10,1.26,0.132348
10,50,1000,TreePL+CASTLES-Pro,11,1.1199999999999999,0.132436
11,50,1000,TreePL+CASTLES-Pro,12,1.27,0.13236
12,50,1000,TreePL+CASTLES-Pro,13,1.4,0.132344
13,50,1000,TreePL+CASTLES-Pro,14,1.0699999999999998,0.132432
14,50,1000,TreePL+CASTLES-Pro,15,1.4100000000000001,0.134472
15,50,1000,TreePL+CASTLES-Pro,16,1.48,0.132348
16,50,1000,TreePL+CASTLES-Pro,17,1.44,0.132308
17,50,1000,TreePL+CASTLES-Pro,18,1.1,0.132344
18,50,1000,TreePL+CASTLES-Pro,19,1.55,0.132476
19,50,1000,TreePL+CASTLES-Pro,20,1.62,0.132416
20,50,1000,TreePL+ConBL,1,58.93,1.37012
21,50,1000,TreePL+ConBL,2,36.089999999999996,0.994616
22,50,1000,TreePL+ConBL,3,45.04,1.178172
23,50,1000,TreePL+ConBL,4,31.41,1.192012
24,50,1000,TreePL+ConBL,5,175.88,2.05444
25,50,1000,TreePL+ConBL,6,130.60999999999999,1.636764
26,50,1000,TreePL+ConBL,7,19.42,0.568056
27,50,1000,TreePL+ConBL,8,70.83999999999999,1.588452
28,50,1000,TreePL+ConBL,9,46.78,1.08958
29,50,1000,TreePL+ConBL,10,43.6,1.087788
30,50,1000,TreePL+ConBL,11,62.83,1.532284
31,50,1000,TreePL+ConBL,12,59.86,1.440724
32,50,1000,TreePL+ConBL,13,96.19,1.517972
33,50,1000,TreePL+ConBL,14,68.92,1.552948
34,50,1000,TreePL+ConBL,15,58.57,1.469508
35,50,1000,TreePL+ConBL,16,114.3,1.701144
36,50,1000,TreePL+ConBL,17,55.81,1.133436
37,50,1000,TreePL+ConBL,18,60.09,1.476924
38,50,1000,TreePL+ConBL,19,35.980000000000004,1.114468
39,50,1000,TreePL+ConBL,20,92.01,1.849972
40,100,1000,TreePL+CASTLES-Pro,1,2.42,0.26132
41,100,1000,TreePL+CASTLES-Pro,2,2.56,0.261344
42,100,1000,TreePL+CASTLES-Pro,3,2.67,0.261252
43,100,1000,TreePL+CASTLES-Pro,4,3.1900000000000004,0.261224
44,100,1000,TreePL+CASTLES-Pro,5,2.87,0.261332
45,100,1000,TreePL+CASTLES-Pro,6,3.1399999999999997,0.261312
46,100,1000,TreePL+CASTLES-Pro,7,2.5300000000000002,0.261392
47,100,1000,TreePL+CASTLES-Pro,8,2.41,0.261256
48,100,1000,TreePL+CASTLES-Pro,9,2.79,0.26132
49,100,1000,TreePL+CASTLES-Pro,10,4.4399999999999995,0.261152
50,100,1000,TreePL+CASTLES-Pro,11,2.9699999999999998,0.261396
51,100,1000,TreePL+CASTLES-Pro,12,3.25,0.261352
52,100,1000,TreePL+CASTLES-Pro,13,3.04,0.271708
53,100,1000,TreePL+CASTLES-Pro,14,2.99,0.261328
54,100,1000,TreePL+CASTLES-Pro,15,3.51,0.261324
55,100,1000,TreePL+CASTLES-Pro,16,3.75,0.26132
56,100,1000,TreePL+CASTLES-Pro,17,2.79,0.261232
57,100,1000,TreePL+CASTLES-Pro,18,3.0,0.26132
58,100,1000,TreePL+CASTLES-Pro,19,3.91,0.261404
59,100,1000,TreePL+CASTLES-Pro,20,3.3600000000000003,0.26128
60,100,1000,TreePL+ConBL,1,134.25,3.658472
61,100,1000,TreePL+ConBL,2,78.84,2.276908
62,100,1000,TreePL+ConBL,3,163.71,3.42876
63,100,1000,TreePL+ConBL,4,115.19999999999999,2.546284
64,100,1000,TreePL+ConBL,5,108.67000000000002,3.843776
65,100,1000,TreePL+ConBL,6,89.63,2.486392
66,100,1000,TreePL+ConBL,7,163.28,3.507424
67,100,1000,TreePL+ConBL,8,182.14,3.850116
68,100,1000,TreePL+ConBL,9,181.75,3.9045
69,100,1000,TreePL+ConBL,10,129.75,2.80742
70,100,1000,TreePL+ConBL,11,295.67,3.54684
71,100,1000,TreePL+ConBL,12,390.95,4.457188
72,100,1000,TreePL+ConBL,13,148.99,4.317268
73,100,1000,TreePL+ConBL,14,170.04,4.042612
74,100,1000,TreePL+ConBL,15,157.89999999999998,4.435396
75,100,1000,TreePL+ConBL,16,87.55,3.039872
76,100,1000,TreePL+ConBL,17,134.1,2.92272
77,100,1000,TreePL+ConBL,18,198.14,3.633452
78,100,1000,TreePL+ConBL,19,191.54999999999998,3.605612
79,100,1000,TreePL+ConBL,20,286.5,4.82574
80,200,1000,TreePL+CASTLES-Pro,1,7.5200000000000005,0.521292
81,200,1000,TreePL+CASTLES-Pro,2,6.22,0.519244
82,200,1000,TreePL+CASTLES-Pro,3,6.3999999999999995,0.521292
83,200,1000,TreePL+CASTLES-Pro,4,9.27,0.51922
84,200,1000,TreePL+CASTLES-Pro,5,9.61,0.518868
85,200,1000,TreePL+CASTLES-Pro,6,7.99,0.519268
86,200,1000,TreePL+CASTLES-Pro,7,7.24,0.519288
87,200,1000,TreePL+CASTLES-Pro,8,8.88,0.519344
88,200,1000,TreePL+CASTLES-Pro,9,9.33,0.51918
89,200,1000,TreePL+CASTLES-Pro,10,7.77,0.519208
90,200,1000,TreePL+CASTLES-Pro,11,11.95,0.540504
91,200,1000,TreePL+CASTLES-Pro,12,9.29,0.521
92,200,1000,TreePL+CASTLES-Pro,13,11.39,0.521036
93,200,1000,TreePL+CASTLES-Pro,14,9.02,0.519268
94,200,1000,TreePL+CASTLES-Pro,15,6.93,0.519264
95,200,1000,TreePL+CASTLES-Pro,16,7.34,0.519256
96,200,1000,TreePL+CASTLES-Pro,17,7.33,0.519332
97,200,1000,TreePL+CASTLES-Pro,18,7.7,0.519244
98,200,1000,TreePL+CASTLES-Pro,19,8.39,0.519184
99,200,1000,TreePL+CASTLES-Pro,20,8.969999999999999,0.51926
100,200,1000,TreePL+ConBL,1,425.51,8.545964
101,200,1000,TreePL+ConBL,2,421.6,8.781068
102,200,1000,TreePL+ConBL,3,405.51,8.412312
103,200,1000,TreePL+ConBL,4,323.18,7.586364
104,200,1000,TreePL+ConBL,5,183.73999999999998,4.694036
105,200,1000,TreePL+ConBL,6,665.35,9.058412
106,200,1000,TreePL+ConBL,7,346.36,7.256936
107,200,1000,TreePL+ConBL,8,628.78,8.151492
108,200,1000,TreePL+ConBL,9,477.43,7.019688
109,200,1000,TreePL+ConBL,10,321.14,6.679532
110,200,1000,TreePL+ConBL,11,140.27,3.429488
111,200,1000,TreePL+ConBL,12,266.66999999999996,6.364224
112,200,1000,TreePL+ConBL,13,187.14,4.561124
113,200,1000,TreePL+ConBL,14,509.29,8.885624
114,200,1000,TreePL+ConBL,15,405.84999999999997,8.202816
115,200,1000,TreePL+ConBL,16,345.55999999999995,7.770516
116,200,1000,TreePL+ConBL,17,318.15999999999997,7.507628
117,200,1000,TreePL+ConBL,18,238.89000000000001,5.931036
118,200,1000,TreePL+ConBL,19,371.73999999999995,7.994036
119,200,1000,TreePL+ConBL,20,574.87,9.321448
120,500,1000,TreePL+CASTLES-Pro,1,50.31,1.289992
121,500,1000,TreePL+CASTLES-Pro,2,45.199999999999996,1.289856
122,500,1000,TreePL+CASTLES-Pro,3,45.760000000000005,1.289968
123,500,1000,TreePL+CASTLES-Pro,4,46.0,1.289928
124,500,1000,TreePL+CASTLES-Pro,5,57.980000000000004,1.290048
125,500,1000,TreePL+CASTLES-Pro,6,51.53,1.290316
126,500,1000,TreePL+CASTLES-Pro,7,49.28,1.29006
127,500,1000,TreePL+CASTLES-Pro,8,57.44,1.290116
128,500,1000,TreePL+CASTLES-Pro,9,42.8,1.289984
129,500,1000,TreePL+CASTLES-Pro,10,44.72,1.290204
130,500,1000,TreePL+CASTLES-Pro,11,40.09,1.289972
131,500,1000,TreePL+CASTLES-Pro,12,50.24,1.290024
132,500,1000,TreePL+CASTLES-Pro,13,42.11,1.289984
133,500,1000,TreePL+CASTLES-Pro,14,42.599999999999994,1.28992
134,500,1000,TreePL+CASTLES-Pro,15,51.41,1.290068
135,500,1000,TreePL+CASTLES-Pro,16,53.89,1.289836
136,500,1000,TreePL+CASTLES-Pro,17,42.83,1.290316
137,500,1000,TreePL+CASTLES-Pro,18,46.57,1.29002
138,500,1000,TreePL+CASTLES-Pro,19,41.82,1.291876
139,500,1000,TreePL+CASTLES-Pro,20,45.66,1.289944
140,500,1000,TreePL+ConBL,1,1242.6799999999998,23.964532
141,500,1000,TreePL+ConBL,2,888.63,19.860712
142,500,1000,TreePL+ConBL,3,1459.59,23.864876
143,500,1000,TreePL+ConBL,4,1269.8100000000002,24.84978
144,500,1000,TreePL+ConBL,5,1312.86,22.059164
145,500,1000,TreePL+ConBL,6,996.44,18.580704
146,500,1000,TreePL+ConBL,7,1261.45,22.159344
147,500,1000,TreePL+ConBL,8,1576.29,24.622648
148,500,1000,TreePL+ConBL,9,5551.03,25.177544
149,500,1000,TreePL+ConBL,10,2410.32,26.098192
150,500,1000,TreePL+ConBL,11,2006.39,25.07968
151,500,1000,TreePL+ConBL,12,1144.1200000000001,22.419736
152,500,1000,TreePL+ConBL,13,1321.04,23.308068
153,500,1000,TreePL+ConBL,14,1029.52,22.682412
154,500,1000,TreePL+ConBL,15,1375.6100000000001,22.750432
155,500,1000,TreePL+ConBL,16,898.26,18.6148
156,500,1000,TreePL+ConBL,17,1772.9199999999998,24.915412
157,500,1000,TreePL+ConBL,18,2212.27,25.701048
158,500,1000,TreePL+ConBL,19,1749.6799999999998,24.816036
159,500,1000,TreePL+ConBL,20,1116.94,22.84832
160,1000,1000,TreePL+CASTLES-Pro,1,68.16,2.576708
161,1000,1000,TreePL+CASTLES-Pro,2,71.69999999999999,2.577204
162,1000,1000,TreePL+CASTLES-Pro,3,168.85000000000002,2.578696
163,1000,1000,TreePL+CASTLES-Pro,4,71.44,2.576896
164,1000,1000,TreePL+CASTLES-Pro,5,87.05000000000001,2.576164
165,1000,1000,TreePL+CASTLES-Pro,6,107.0,2.579528
166,1000,1000,TreePL+CASTLES-Pro,7,77.14,2.578572
167,1000,1000,TreePL+CASTLES-Pro,8,56.379999999999995,2.577628
168,1000,1000,TreePL+CASTLES-Pro,9,78.0,2.57774
169,1000,1000,TreePL+CASTLES-Pro,10,57.61,2.5768
170,1000,1000,TreePL+CASTLES-Pro,11,61.36,2.577136
171,1000,1000,TreePL+CASTLES-Pro,12,75.07,2.577364
172,1000,1000,TreePL+CASTLES-Pro,13,51.07,2.577892
173,1000,1000,TreePL+CASTLES-Pro,14,75.81,2.579192
174,1000,1000,TreePL+CASTLES-Pro,15,49.56,2.5783
175,1000,1000,TreePL+CASTLES-Pro,16,49.86,2.57678
176,1000,1000,TreePL+CASTLES-Pro,17,58.56,2.57694
177,1000,1000,TreePL+CASTLES-Pro,18,61.489999999999995,2.576668
178,1000,1000,TreePL+CASTLES-Pro,19,102.71000000000001,2.576904
179,1000,1000,TreePL+CASTLES-Pro,20,51.39,2.576816
180,1000,1000,TreePL+ConBL,1,1423.56,51.168664
181,1000,1000,TreePL+ConBL,2,3049.7400000000002,51.105308
182,1000,1000,TreePL+ConBL,3,3330.38,50.449628
183,1000,1000,TreePL+ConBL,4,2927.5699999999997,52.421128
184,1000,1000,TreePL+ConBL,5,4935.36,41.193232
185,1000,1000,TreePL+ConBL,6,2218.37,39.81222
186,1000,1000,TreePL+ConBL,7,5199.11,46.183248
187,1000,1000,TreePL+ConBL,8,6303.46,50.839612
188,1000,1000,TreePL+ConBL,9,5223.39,48.873748
189,1000,1000,TreePL+ConBL,10,4768.55,50.381684
190,1000,1000,TreePL+ConBL,11,5146.96,53.361188
191,1000,1000,TreePL+ConBL,12,5869.76,53.207256
192,1000,1000,TreePL+ConBL,13,6645.24,50.973068
193,1000,1000,TreePL+ConBL,14,6071.5,51.302316
194,1000,1000,TreePL+ConBL,15,4313.33,48.21698
195,1000,1000,TreePL+ConBL,16,2415.83,51.495928
196,1000,1000,TreePL+ConBL,17,7093.33,51.36684
197,1000,1000,TreePL+ConBL,18,12629.01,52.024564
198,1000,1000,TreePL+ConBL,19,1677.94,35.416124
199,1000,1000,TreePL+ConBL,20,2501.95,45.58926
200,2000,1000,TreePL+CASTLES-Pro,1,278.17999999999995,5.15462
201,2000,1000,TreePL+CASTLES-Pro,2,337.87,5.158392
202,2000,1000,TreePL+CASTLES-Pro,3,343.33,5.156036
203,2000,1000,TreePL+CASTLES-Pro,4,329.34,5.157812
204,2000,1000,TreePL+CASTLES-Pro,5,341.59,5.156152
205,2000,1000,TreePL+CASTLES-Pro,6,390.20000000000005,5.161844
206,2000,1000,TreePL+CASTLES-Pro,7,220.16000000000003,5.157472
207,2000,1000,TreePL+CASTLES-Pro,8,415.27,5.161112
208,2000,1000,TreePL+CASTLES-Pro,9,292.26,5.157988
209,2000,1000,TreePL+CASTLES-Pro,10,389.84,5.162372
210,2000,1000,TreePL+CASTLES-Pro,11,438.49,5.162008
211,2000,1000,TreePL+CASTLES-Pro,12,324.63,5.1587
212,2000,1000,TreePL+CASTLES-Pro,13,415.96999999999997,5.160552
213,2000,1000,TreePL+CASTLES-Pro,14,297.19,5.15894
214,2000,1000,TreePL+CASTLES-Pro,15,263.78,5.158684
215,2000,1000,TreePL+CASTLES-Pro,16,268.34000000000003,5.157356
216,2000,1000,TreePL+CASTLES-Pro,17,371.18000000000006,5.16004
217,2000,1000,TreePL+CASTLES-Pro,18,296.47,5.156944
218,2000,1000,TreePL+CASTLES-Pro,19,253.41,5.158188
219,2000,1000,TreePL+CASTLES-Pro,20,362.42,5.162464
220,5000,1000,TreePL+CASTLES-Pro,1,769.89,12.979792
221,5000,1000,TreePL+CASTLES-Pro,2,613.45,12.981244
222,5000,1000,TreePL+CASTLES-Pro,3,651.1700000000001,12.979148
223,5000,1000,TreePL+CASTLES-Pro,4,806.44,12.980672
224,5000,1000,TreePL+CASTLES-Pro,5,924.9100000000001,12.97906
225,5000,1000,TreePL+CASTLES-Pro,6,917.71,12.979696
226,5000,1000,TreePL+CASTLES-Pro,7,681.6099999999999,12.978168
227,5000,1000,TreePL+CASTLES-Pro,8,1006.89,12.991136
228,5000,1000,TreePL+CASTLES-Pro,10,2077.63,12.98502
229,5000,1000,TreePL+CASTLES-Pro,11,871.5500000000001,12.991948
230,5000,1000,TreePL+CASTLES-Pro,12,1561.27,12.978176
231,5000,1000,TreePL+CASTLES-Pro,13,761.86,12.98012
232,5000,1000,TreePL+CASTLES-Pro,14,799.74,12.982412
233,5000,1000,TreePL+CASTLES-Pro,15,780.94,12.978904
234,5000,1000,TreePL+CASTLES-Pro,16,561.8,12.981152
235,5000,1000,TreePL+CASTLES-Pro,17,428.01,12.979328
236,5000,1000,TreePL+CASTLES-Pro,18,783.79,12.988944
237,5000,1000,TreePL+CASTLES-Pro,19,6938.44,12.973208
238,5000,1000,TreePL+CASTLES-Pro,20,1025.9099999999999,12.978484
239,10000,1000,TreePL+CASTLES-Pro,1,46683.95,25.843912
240,10000,1000,TreePL+CASTLES-Pro,2,2109.91,25.863756
241,10000,1000,TreePL+CASTLES-Pro,3,2120.9,25.844468
242,10000,1000,TreePL+CASTLES-Pro,4,2665.62,25.871064
243,10000,1000,TreePL+CASTLES-Pro,5,2792.4,25.866776
244,10000,1000,TreePL+CASTLES-Pro,6,5418.85,25.847552
245,10000,1000,TreePL+CASTLES-Pro,7,2586.0499999999997,25.862864
246,10000,1000,TreePL+CASTLES-Pro,8,3101.62,25.847092
247,10000,1000,TreePL+CASTLES-Pro,9,3274.4,25.863072
248,10000,1000,TreePL+CASTLES-Pro,10,3685.6499999999996,25.867024
249,10000,1000,TreePL+CASTLES-Pro,11,3684.17,25.849456
250,10000,1000,TreePL+CASTLES-Pro,12,2741.59,25.883352
251,10000,1000,TreePL+CASTLES-Pro,13,4336.35,25.876084
252,10000,1000,TreePL+CASTLES-Pro,14,4747.09,25.942556
253,10000,1000,TreePL+CASTLES-Pro,15,55363.99,25.86058
254,10000,1000,TreePL+CASTLES-Pro,16,2551.63,25.8627
255,10000,1000,TreePL+CASTLES-Pro,17,3543.11,25.844256
256,10000,1000,TreePL+CASTLES-Pro,18,24243.0,25.862528
257,10000,1000,TreePL+CASTLES-Pro,19,9804.79,25.938608
258,10000,1000,TreePL+CASTLES-Pro,20,3617.74,25.841352
