,Condition,genes,Method,replicate,Step,time_s,mem_gb
266,500,1000,TreePL+CASTLES-Pro,14,Branch length estimation,34.23,1.28992
267,500,1000,TreePL+CASTLES-Pro,14,Dating,8.37,0.026948
268,500,1000,TreePL+CASTLES-Pro,15,Branch length estimation,42.51,1.290068
269,500,1000,TreePL+CASTLES-Pro,15,Dating,8.9,0.0268
270,500,1000,TreePL+CASTLES-Pro,16,Branch length estimation,44.86,1.289836
271,500,1000,TreePL+CASTLES-Pro,16,Dating,9.03,0.02704
272,500,1000,TreePL+CASTLES-Pro,17,Branch length estimation,38.94,1.290316
273,500,1000,TreePL+CASTLES-Pro,17,Dating,3.89,0.026836
274,500,1000,TreePL+CASTLES-Pro,18,Branch length estimation,37.07,1.29002
275,500,1000,TreePL+CASTLES-Pro,18,Dating,9.5,0.027172
276,500,1000,TreePL+CASTLES-Pro,19,Branch length estimation,31.11,1.291876
277,500,1000,TreePL+CASTLES-Pro,19,Dating,10.71,0.027184
278,500,1000,TreePL+CASTLES-Pro,20,Branch length estimation,38.65,1.289944
279,500,1000,TreePL+CASTLES-Pro,20,Dating,7.01,0.026448
280,500,1000,TreePL+ConBL,1,Branch length estimation,1232.32,23.964532
281,500,1000,TreePL+ConBL,1,Dating,10.36,0.02718
282,500,1000,TreePL+ConBL,2,Branch length estimation,881.71,19.860712
283,500,1000,TreePL+ConBL,2,Dating,6.92,0.026668
284,500,1000,TreePL+ConBL,3,Branch length estimation,1452.86,23.864876
285,500,1000,TreePL+ConBL,3,Dating,6.73,0.02664
286,500,1000,TreePL+ConBL,4,Branch length estimation,1263.41,24.84978
287,500,1000,TreePL+ConBL,4,Dating,6.4,0.026528
288,500,1000,TreePL+ConBL,5,Branch length estimation,1301.86,22.059164
289,500,1000,TreePL+ConBL,5,Dating,11.0,0.027472
290,500,1000,TreePL+ConBL,6,Branch length estimation,992.12,18.580704
291,500,1000,TreePL+ConBL,6,Dating,4.32,0.028344
292,500,1000,TreePL+ConBL,7,Branch length estimation,1252.56,22.159344
293,500,1000,TreePL+ConBL,7,Dating,8.89,0.027456
294,500,1000,TreePL+ConBL,8,Branch length estimation,1569.76,24.622648
295,500,1000,TreePL+ConBL,8,Dating,6.53,0.02724
296,500,1000,TreePL+ConBL,9,Branch length estimation,5551.0,25.177544
297,500,1000,TreePL+ConBL,9,Dating,0.03,0.002132
298,500,1000,TreePL+ConBL,10,Branch length estimation,2397.25,26.098192
299,500,1000,TreePL+ConBL,10,Dating,13.07,0.02998
300,500,1000,TreePL+ConBL,11,Branch length estimation,1995.48,25.07968
301,500,1000,TreePL+ConBL,11,Dating,10.91,0.026912
302,500,1000,TreePL+ConBL,12,Branch length estimation,1135.44,22.419736
303,500,1000,TreePL+ConBL,12,Dating,8.68,0.026484
304,500,1000,TreePL+ConBL,13,Branch length estimation,1314.29,23.308068
305,500,1000,TreePL+ConBL,13,Dating,6.75,0.026764
306,500,1000,TreePL+ConBL,14,Branch length estimation,1021.72,22.682412
307,500,1000,TreePL+ConBL,14,Dating,7.8,0.0261
308,500,1000,TreePL+ConBL,15,Branch length estimation,1367.4,22.750432
309,500,1000,TreePL+ConBL,15,Dating,8.21,0.026144
310,500,1000,TreePL+ConBL,16,Branch length estimation,891.26,18.6148
311,500,1000,TreePL+ConBL,16,Dating,7.0,0.026308
312,500,1000,TreePL+ConBL,17,Branch length estimation,1768.87,24.915412
313,500,1000,TreePL+ConBL,17,Dating,4.05,0.029824
314,500,1000,TreePL+ConBL,18,Branch length estimation,2204.56,25.701048
315,500,1000,TreePL+ConBL,18,Dating,7.71,0.02856
316,500,1000,TreePL+ConBL,19,Branch length estimation,1743.59,24.816036
317,500,1000,TreePL+ConBL,19,Dating,6.09,0.027808
318,500,1000,TreePL+ConBL,20,Branch length estimation,1113.04,22.84832
319,500,1000,TreePL+ConBL,20,Dating,3.9,0.026988
320,1000,1000,TreePL+CASTLES-Pro,1,Branch length estimation,37.16,2.576708
321,1000,1000,TreePL+CASTLES-Pro,1,Dating,31.0,0.029164
322,1000,1000,TreePL+CASTLES-Pro,2,Branch length estimation,34.9,2.577204
323,1000,1000,TreePL+CASTLES-Pro,2,Dating,36.8,0.031024
324,1000,1000,TreePL+CASTLES-Pro,3,Branch length estimation,41.06,2.578696
325,1000,1000,TreePL+CASTLES-Pro,3,Dating,127.79,0.032288
326,1000,1000,TreePL+CASTLES-Pro,4,Branch length estimation,39.44,2.576896
327,1000,1000,TreePL+CASTLES-Pro,4,Dating,32.0,0.033968
328,1000,1000,TreePL+CASTLES-Pro,5,Branch length estimation,41.28,2.576164
329,1000,1000,TreePL+CASTLES-Pro,5,Dating,45.77,0.030848
330,1000,1000,TreePL+CASTLES-Pro,6,Branch length estimation,76.08,2.579528
331,1000,1000,TreePL+CASTLES-Pro,6,Dating,30.92,0.029684
332,1000,1000,TreePL+CASTLES-Pro,7,Branch length estimation,49.38,2.578572
333,1000,1000,TreePL+CASTLES-Pro,7,Dating,27.76,0.030532
334,1000,1000,TreePL+CASTLES-Pro,8,Branch length estimation,31.4,2.577628
335,1000,1000,TreePL+CASTLES-Pro,8,Dating,24.98,0.0293
336,1000,1000,TreePL+CASTLES-Pro,9,Branch length estimation,50.81,2.57774
337,1000,1000,TreePL+CASTLES-Pro,9,Dating,27.19,0.031308
338,1000,1000,TreePL+CASTLES-Pro,10,Branch length estimation,41.11,2.5768
339,1000,1000,TreePL+CASTLES-Pro,10,Dating,16.5,0.029664
340,1000,1000,TreePL+CASTLES-Pro,11,Branch length estimation,34.9,2.577136
341,1000,1000,TreePL+CASTLES-Pro,11,Dating,26.46,0.031212
342,1000,1000,TreePL+CASTLES-Pro,12,Branch length estimation,34.96,2.577364
343,1000,1000,TreePL+CASTLES-Pro,12,Dating,40.11,0.032112
344,1000,1000,TreePL+CASTLES-Pro,13,Branch length estimation,34.89,2.577892
345,1000,1000,TreePL+CASTLES-Pro,13,Dating,16.18,0.028528
346,1000,1000,TreePL+CASTLES-Pro,14,Branch length estimation,47.03,2.579192
347,1000,1000,TreePL+CASTLES-Pro,14,Dating,28.78,0.028492
348,1000,1000,TreePL+CASTLES-Pro,15,Branch length estimation,35.33,2.5783
349,1000,1000,TreePL+CASTLES-Pro,15,Dating,14.23,0.02854
350,1000,1000,TreePL+CASTLES-Pro,16,Branch length estimation,37.73,2.57678
351,1000,1000,TreePL+CASTLES-Pro,16,Dating,12.13,0.029756
352,1000,1000,TreePL+CASTLES-Pro,17,Branch length estimation,36.47,2.57694
353,1000,1000,TreePL+CASTLES-Pro,17,Dating,22.09,0.029272
354,1000,1000,TreePL+CASTLES-Pro,18,Branch length estimation,39.47,2.576668
355,1000,1000,TreePL+CASTLES-Pro,18,Dating,22.02,0.02994
356,1000,1000,TreePL+CASTLES-Pro,19,Branch length estimation,67.17,2.576904
357,1000,1000,TreePL+CASTLES-Pro,19,Dating,35.54,0.029116
358,1000,1000,TreePL+CASTLES-Pro,20,Branch length estimation,39.97,2.576816
359,1000,1000,TreePL+CASTLES-Pro,20,Dating,11.42,0.028628
360,1000,1000,TreePL+ConBL,1,Branch length estimation,1387.85,51.168664
361,1000,1000,TreePL+ConBL,1,Dating,35.71,0.029956
362,1000,1000,TreePL+ConBL,2,Branch length estimation,3011.03,51.105308
363,1000,1000,TreePL+ConBL,2,Dating,38.71,0.029148
364,1000,1000,TreePL+ConBL,3,Branch length estimation,3314.27,50.449628
365,1000,1000,TreePL+ConBL,3,Dating,16.11,0.029124
366,1000,1000,TreePL+ConBL,4,Branch length estimation,2898.14,52.421128
367,1000,1000,TreePL+ConBL,4,Dating,29.43,0.028336
368,1000,1000,TreePL+ConBL,5,Branch length estimation,4915.0,41.193232
369,1000,1000,TreePL+ConBL,5,Dating,20.36,0.029476
370,1000,1000,TreePL+ConBL,6,Branch length estimation,2190.81,39.81222
371,1000,1000,TreePL+ConBL,6,Dating,27.56,0.031324
372,1000,1000,TreePL+ConBL,7,Branch length estimation,5165.0,46.183248
373,1000,1000,TreePL+ConBL,7,Dating,34.11,0.030148
374,1000,1000,TreePL+ConBL,8,Branch length estimation,6286.0,50.839612
375,1000,1000,TreePL+ConBL,8,Dating,17.46,0.02864
376,1000,1000,TreePL+ConBL,9,Branch length estimation,5202.0,48.873748
377,1000,1000,TreePL+ConBL,9,Dating,21.39,0.02942
378,1000,1000,TreePL+ConBL,10,Branch length estimation,4755.0,50.381684
379,1000,1000,TreePL+ConBL,10,Dating,13.55,0.029204
380,1000,1000,TreePL+ConBL,11,Branch length estimation,5120.0,53.361188
381,1000,1000,TreePL+ConBL,11,Dating,26.96,0.029304
382,1000,1000,TreePL+ConBL,12,Branch length estimation,5848.0,53.207256
383,1000,1000,TreePL+ConBL,12,Dating,21.76,0.031304
384,1000,1000,TreePL+ConBL,13,Branch length estimation,6624.0,50.973068
385,1000,1000,TreePL+ConBL,13,Dating,21.24,0.029016
386,1000,1000,TreePL+ConBL,14,Branch length estimation,6041.0,51.302316
387,1000,1000,TreePL+ConBL,14,Dating,30.5,0.033644
388,1000,1000,TreePL+ConBL,15,Branch length estimation,4298.0,48.21698
389,1000,1000,TreePL+ConBL,15,Dating,15.33,0.028052
390,1000,1000,TreePL+ConBL,16,Branch length estimation,2394.33,51.495928
391,1000,1000,TreePL+ConBL,16,Dating,21.5,0.029692
392,1000,1000,TreePL+ConBL,17,Branch length estimation,7064.0,51.36684
393,1000,1000,TreePL+ConBL,17,Dating,29.33,0.030076
394,1000,1000,TreePL+ConBL,18,Branch length estimation,12629.0,52.024564
395,1000,1000,TreePL+ConBL,18,Dating,0.01,0.002216
396,1000,1000,TreePL+ConBL,19,Branch length estimation,1645.65,35.416124
397,1000,1000,TreePL+ConBL,19,Dating,32.29,0.029488
398,1000,1000,TreePL+ConBL,20,Branch length estimation,2491.49,45.58926
399,1000,1000,TreePL+ConBL,20,Dating,10.46,0.028712
400,2000,1000,TreePL+CASTLES-Pro,1,Branch length estimation,170.07999999999998,5.15462
401,2000,1000,TreePL+CASTLES-Pro,1,Dating,108.1,0.048332
402,2000,1000,TreePL+CASTLES-Pro,2,Branch length estimation,250.92,5.158392
403,2000,1000,TreePL+CASTLES-Pro,2,Dating,86.95,0.050096
404,2000,1000,TreePL+CASTLES-Pro,3,Branch length estimation,154.76,5.156036
405,2000,1000,TreePL+CASTLES-Pro,3,Dating,188.57,0.04448
406,2000,1000,TreePL+CASTLES-Pro,4,Branch length estimation,238.39,5.157812
407,2000,1000,TreePL+CASTLES-Pro,4,Dating,90.95,0.035676
408,2000,1000,TreePL+CASTLES-Pro,5,Branch length estimation,224.89,5.156152
409,2000,1000,TreePL+CASTLES-Pro,5,Dating,116.7,0.03428
410,2000,1000,TreePL+CASTLES-Pro,6,Branch length estimation,297.18,5.161844
411,2000,1000,TreePL+CASTLES-Pro,6,Dating,93.02000000000001,0.04822
412,2000,1000,TreePL+CASTLES-Pro,7,Branch length estimation,138.61,5.157472
413,2000,1000,TreePL+CASTLES-Pro,7,Dating,81.55,0.039252
414,2000,1000,TreePL+CASTLES-Pro,8,Branch length estimation,298.76,5.161112
415,2000,1000,TreePL+CASTLES-Pro,8,Dating,116.50999999999999,0.047636
416,2000,1000,TreePL+CASTLES-Pro,9,Branch length estimation,199.14,5.157988
417,2000,1000,TreePL+CASTLES-Pro,9,Dating,93.12,0.045232
418,2000,1000,TreePL+CASTLES-Pro,10,Branch length estimation,299.51,5.162372
419,2000,1000,TreePL+CASTLES-Pro,10,Dating,90.33,0.037628
420,2000,1000,TreePL+CASTLES-Pro,11,Branch length estimation,341.8,5.162008
421,2000,1000,TreePL+CASTLES-Pro,11,Dating,96.69,0.048148
422,2000,1000,TreePL+CASTLES-Pro,12,Branch length estimation,212.72,5.1587
423,2000,1000,TreePL+CASTLES-Pro,12,Dating,111.91,0.048532
424,2000,1000,TreePL+CASTLES-Pro,13,Branch length estimation,292.65999999999997,5.160552
425,2000,1000,TreePL+CASTLES-Pro,13,Dating,123.31,0.050344
426,2000,1000,TreePL+CASTLES-Pro,14,Branch length estimation,239.07,5.15894
427,2000,1000,TreePL+CASTLES-Pro,14,Dating,58.12,0.044724
428,2000,1000,TreePL+CASTLES-Pro,15,Branch length estimation,241.5,5.158684
429,2000,1000,TreePL+CASTLES-Pro,15,Dating,22.28,0.047996
430,2000,1000,TreePL+CASTLES-Pro,16,Branch length estimation,221.8,5.157356
431,2000,1000,TreePL+CASTLES-Pro,16,Dating,46.54,0.034476
432,2000,1000,TreePL+CASTLES-Pro,17,Branch length estimation,284.09000000000003,5.16004
433,2000,1000,TreePL+CASTLES-Pro,17,Dating,87.09,0.034136
434,2000,1000,TreePL+CASTLES-Pro,18,Branch length estimation,223.84,5.156944
435,2000,1000,TreePL+CASTLES-Pro,18,Dating,72.63,0.035376
436,2000,1000,TreePL+CASTLES-Pro,19,Branch length estimation,190.37,5.158188
437,2000,1000,TreePL+CASTLES-Pro,19,Dating,63.04,0.048244
438,2000,1000,TreePL+CASTLES-Pro,20,Branch length estimation,281.17,5.162464
439,2000,1000,TreePL+CASTLES-Pro,20,Dating,81.25,0.039204
440,5000,1000,TreePL+CASTLES-Pro,1,Branch length estimation,390.44,12.979792
441,5000,1000,TreePL+CASTLES-Pro,1,Dating,379.45,0.053692
442,5000,1000,TreePL+CASTLES-Pro,2,Branch length estimation,422.38,12.981244
443,5000,1000,TreePL+CASTLES-Pro,2,Dating,191.07,0.062108
444,5000,1000,TreePL+CASTLES-Pro,3,Branch length estimation,374.82,12.979148
445,5000,1000,TreePL+CASTLES-Pro,3,Dating,276.35,0.052632
446,5000,1000,TreePL+CASTLES-Pro,4,Branch length estimation,371.76,12.980672
447,5000,1000,TreePL+CASTLES-Pro,4,Dating,434.68,0.0466
448,5000,1000,TreePL+CASTLES-Pro,5,Branch length estimation,289.32,12.97906
449,5000,1000,TreePL+CASTLES-Pro,5,Dating,635.59,0.050412
450,5000,1000,TreePL+CASTLES-Pro,6,Branch length estimation,538.57,12.979696
451,5000,1000,TreePL+CASTLES-Pro,6,Dating,379.14,0.050084
452,5000,1000,TreePL+CASTLES-Pro,7,Branch length estimation,512.41,12.978168
453,5000,1000,TreePL+CASTLES-Pro,7,Dating,169.2,0.066544
454,5000,1000,TreePL+CASTLES-Pro,8,Branch length estimation,637.65,12.991136
455,5000,1000,TreePL+CASTLES-Pro,8,Dating,369.24,0.051964
456,5000,1000,TreePL+CASTLES-Pro,10,Branch length estimation,1752.48,12.98502
457,5000,1000,TreePL+CASTLES-Pro,10,Dating,325.15,0.073376
458,5000,1000,TreePL+CASTLES-Pro,11,Branch length estimation,535.57,12.991948
459,5000,1000,TreePL+CASTLES-Pro,11,Dating,335.98,0.053988
460,5000,1000,TreePL+CASTLES-Pro,12,Branch length estimation,1264.09,12.978176
461,5000,1000,TreePL+CASTLES-Pro,12,Dating,297.18,0.04992
462,5000,1000,TreePL+CASTLES-Pro,13,Branch length estimation,584.4,12.98012
463,5000,1000,TreePL+CASTLES-Pro,13,Dating,177.46,0.062256
464,5000,1000,TreePL+CASTLES-Pro,14,Branch length estimation,285.29,12.982412
465,5000,1000,TreePL+CASTLES-Pro,14,Dating,514.45,0.049948
466,5000,1000,TreePL+CASTLES-Pro,15,Branch length estimation,597.01,12.978904
467,5000,1000,TreePL+CASTLES-Pro,15,Dating,183.93,0.063796
468,5000,1000,TreePL+CASTLES-Pro,16,Branch length estimation,420.05,12.981152
469,5000,1000,TreePL+CASTLES-Pro,16,Dating,141.75,0.061896
470,5000,1000,TreePL+CASTLES-Pro,17,Branch length estimation,299.32,12.979328
471,5000,1000,TreePL+CASTLES-Pro,17,Dating,128.69,0.06454
472,5000,1000,TreePL+CASTLES-Pro,18,Branch length estimation,553.02,12.988944
473,5000,1000,TreePL+CASTLES-Pro,18,Dating,230.77,0.05242
474,5000,1000,TreePL+CASTLES-Pro,19,Branch length estimation,6638.0,12.973208
475,5000,1000,TreePL+CASTLES-Pro,19,Dating,300.44,0.061756
476,5000,1000,TreePL+CASTLES-Pro,20,Branch length estimation,742.81,12.978484
477,5000,1000,TreePL+CASTLES-Pro,20,Dating,283.1,0.0524
478,10000,1000,TreePL+CASTLES-Pro,1,Branch length estimation,1218.95,25.843912
479,10000,1000,TreePL+CASTLES-Pro,1,Dating,45465.0,0.07426
480,10000,1000,TreePL+CASTLES-Pro,2,Branch length estimation,1016.35,25.863756
481,10000,1000,TreePL+CASTLES-Pro,2,Dating,1093.56,0.090092
482,10000,1000,TreePL+CASTLES-Pro,3,Branch length estimation,1131.28,25.844468
483,10000,1000,TreePL+CASTLES-Pro,3,Dating,989.62,0.079636
484,10000,1000,TreePL+CASTLES-Pro,4,Branch length estimation,1287.84,25.871064
485,10000,1000,TreePL+CASTLES-Pro,4,Dating,1377.78,0.068976
486,10000,1000,TreePL+CASTLES-Pro,5,Branch length estimation,1776.76,25.866776
487,10000,1000,TreePL+CASTLES-Pro,5,Dating,1015.64,0.08672
488,10000,1000,TreePL+CASTLES-Pro,6,Branch length estimation,3285.58,25.847552
489,10000,1000,TreePL+CASTLES-Pro,6,Dating,2133.27,0.070824
490,10000,1000,TreePL+CASTLES-Pro,7,Branch length estimation,1612.12,25.862864
491,10000,1000,TreePL+CASTLES-Pro,7,Dating,973.93,0.069296
492,10000,1000,TreePL+CASTLES-Pro,8,Branch length estimation,1646.38,25.847092
493,10000,1000,TreePL+CASTLES-Pro,8,Dating,1455.24,0.071536
494,10000,1000,TreePL+CASTLES-Pro,9,Branch length estimation,2427.26,25.863072
495,10000,1000,TreePL+CASTLES-Pro,9,Dating,847.14,0.071128
496,10000,1000,TreePL+CASTLES-Pro,10,Branch length estimation,2628.41,25.867024
497,10000,1000,TreePL+CASTLES-Pro,10,Dating,1057.24,0.0825
498,10000,1000,TreePL+CASTLES-Pro,11,Branch length estimation,2363.54,25.849456
499,10000,1000,TreePL+CASTLES-Pro,11,Dating,1320.63,0.071188
500,10000,1000,TreePL+CASTLES-Pro,12,Branch length estimation,1848.54,25.883352
501,10000,1000,TreePL+CASTLES-Pro,12,Dating,893.05,0.070888
502,10000,1000,TreePL+CASTLES-Pro,13,Branch length estimation,2444.44,25.876084
503,10000,1000,TreePL+CASTLES-Pro,13,Dating,1891.91,0.072332
504,10000,1000,TreePL+CASTLES-Pro,14,Branch length estimation,3901.0,25.942556
505,10000,1000,TreePL+CASTLES-Pro,14,Dating,846.09,0.08796
506,10000,1000,TreePL+CASTLES-Pro,15,Branch length estimation,2421.99,25.86058
507,10000,1000,TreePL+CASTLES-Pro,15,Dating,52942.0,0.083136
508,10000,1000,TreePL+CASTLES-Pro,16,Branch length estimation,2219.19,25.8627
509,10000,1000,TreePL+CASTLES-Pro,16,Dating,332.44,0.070816
510,10000,1000,TreePL+CASTLES-Pro,17,Branch length estimation,3054.21,25.844256
511,10000,1000,TreePL+CASTLES-Pro,17,Dating,488.9,0.069644
512,10000,1000,TreePL+CASTLES-Pro,18,Branch length estimation,4655.0,25.862528
513,10000,1000,TreePL+CASTLES-Pro,18,Dating,19588.0,0.075152
514,10000,1000,TreePL+CASTLES-Pro,19,Branch length estimation,9026.0,25.938608
515,10000,1000,TreePL+CASTLES-Pro,19,Dating,778.79,0.068192
516,10000,1000,TreePL+CASTLES-Pro,20,Branch length estimation,1461.11,25.841352
517,10000,1000,TreePL+CASTLES-Pro,20,Dating,2156.63,0.071952
